Angle,RT60,Mu_Inv,Zeta,SI_SDR_Imp
30,0.0,0.0,1e-06,7.072
30,0.0,0.0,0.0001,7.106
30,0.0,0.0,0.01,8.869
30,0.0,0.1,1e-06,-6.061
30,0.0,0.1,0.0001,-6.054
30,0.0,0.1,0.01,-5.918
30,0.0,0.5,1e-06,-10.323
30,0.0,0.5,0.0001,-10.315
30,0.0,0.5,0.01,-10.148
30,0.0,1.0,1e-06,-12.238
30,0.0,1.0,0.0001,-12.23
30,0.0,1.0,0.01,-12.049
30,0.2,0.0,1e-06,4.993
30,0.2,0.0,0.0001,5.013
30,0.2,0.0,0.01,5.958
30,0.2,0.1,1e-06,-6.615
30,0.2,0.1,0.0001,-6.607
30,0.2,0.1,0.01,-6.401
30,0.2,0.5,1e-06,-10.773
30,0.2,0.5,0.0001,-10.767
30,0.2,0.5,0.01,-10.603
30,0.2,1.0,1e-06,-12.658
30,0.2,1.0,0.0001,-12.652
30,0.2,1.0,0.01,-12.5
30,0.4,0.0,1e-06,1.996
30,0.4,0.0,0.0001,2.029
30,0.4,0.0,0.01,3.311
30,0.4,0.1,1e-06,-7.21
30,0.4,0.1,0.0001,-7.197
30,0.4,0.1,0.01,-6.77
30,0.4,0.5,1e-06,-10.876
30,0.4,0.5,0.0001,-10.864
30,0.4,0.5,0.01,-10.498
30,0.4,1.0,1e-06,-12.591
30,0.4,1.0,0.0001,-12.58
30,0.4,1.0,0.01,-12.25
60,0.0,0.0,1e-06,5.724
60,0.0,0.0,0.0001,5.763
60,0.0,0.0,0.01,7.711
60,0.0,0.1,1e-06,-3.305
60,0.0,0.1,0.0001,-3.295
60,0.0,0.1,0.01,-2.951
60,0.0,0.5,1e-06,-7.513
60,0.0,0.5,0.0001,-7.505
60,0.0,0.5,0.01,-7.277
60,0.0,1.0,1e-06,-9.317
60,0.0,1.0,0.0001,-9.311
60,0.0,1.0,0.01,-9.129
60,0.2,0.0,1e-06,4.111
60,0.2,0.0,0.0001,4.159
60,0.2,0.0,0.01,6.177
60,0.2,0.1,1e-06,-4.166
60,0.2,0.1,0.0001,-4.155
60,0.2,0.1,0.01,-3.829
60,0.2,0.5,1e-06,-8.031
60,0.2,0.5,0.0001,-8.024
60,0.2,0.5,0.01,-7.786
60,0.2,1.0,1e-06,-9.845
60,0.2,1.0,0.0001,-9.838
60,0.2,1.0,0.01,-9.626
60,0.4,0.0,1e-06,2.416
60,0.4,0.0,0.0001,2.44
60,0.4,0.0,0.01,3.786
60,0.4,0.1,1e-06,-5.322
60,0.4,0.1,0.0001,-5.314
60,0.4,0.1,0.01,-5.003
60,0.4,0.5,1e-06,-9.112
60,0.4,0.5,0.0001,-9.106
60,0.4,0.5,0.01,-8.904
60,0.4,1.0,1e-06,-10.937
60,0.4,1.0,0.0001,-10.931
60,0.4,1.0,0.01,-10.77
80,0.0,0.0,1e-06,6.271
80,0.0,0.0,0.0001,6.323
80,0.0,0.0,0.01,8.807
80,0.0,0.1,1e-06,-5.515
80,0.0,0.1,0.0001,-5.501
80,0.0,0.1,0.01,-5.046
80,0.0,0.5,1e-06,-9.983
80,0.0,0.5,0.0001,-9.969
80,0.0,0.5,0.01,-9.558
80,0.0,1.0,1e-06,-11.986
80,0.0,1.0,0.0001,-11.973
80,0.0,1.0,0.01,-11.606
80,0.2,0.0,1e-06,3.549
80,0.2,0.0,0.0001,3.597
80,0.2,0.0,0.01,5.631
80,0.2,0.1,1e-06,-6.444
80,0.2,0.1,0.0001,-6.434
80,0.2,0.1,0.01,-6.158
80,0.2,0.5,1e-06,-10.742
80,0.2,0.5,0.0001,-10.733
80,0.2,0.5,0.01,-10.555
80,0.2,1.0,1e-06,-12.652
80,0.2,1.0,0.0001,-12.644
80,0.2,1.0,0.01,-12.5
80,0.4,0.0,1e-06,1.754
80,0.4,0.0,0.0001,1.79
80,0.4,0.0,0.01,3.134
80,0.4,0.1,1e-06,-8.537
80,0.4,0.1,0.0001,-8.524
80,0.4,0.1,0.01,-8.147
80,0.4,0.5,1e-06,-12.508
80,0.4,0.5,0.0001,-12.497
80,0.4,0.5,0.01,-12.202
80,0.4,1.0,1e-06,-14.37
80,0.4,1.0,0.0001,-14.359
80,0.4,1.0,0.01,-14.101
85,0.0,0.0,1e-06,3.219
