Angle,RT60,Mu_Inv,Zeta,SI_SDR_Imp
0,0.0,0.0,1e-06,7.971
0,0.0,0.0,1e-05,7.973
0,0.0,0.0,0.0001,7.987
0,0.0,0.0,0.001,8.116
0,0.0,0.0,0.01,8.999
0,0.0,0.2,1e-06,-8.041
0,0.0,0.2,1e-05,-8.041
0,0.0,0.2,0.0001,-8.039
0,0.0,0.2,0.001,-8.021
0,0.0,0.2,0.01,-7.962
0,0.0,0.5,1e-06,-10.644
0,0.0,0.5,1e-05,-10.643
0,0.0,0.5,0.0001,-10.641
0,0.0,0.5,0.001,-10.62
0,0.0,0.5,0.01,-10.548
0,0.0,0.8,1e-06,-11.995
0,0.0,0.8,1e-05,-11.994
0,0.0,0.8,0.0001,-11.992
0,0.0,0.8,0.001,-11.969
0,0.0,0.8,0.01,-11.891
0,0.0,1.0,1e-06,-12.646
0,0.0,1.0,1e-05,-12.645
0,0.0,1.0,0.0001,-12.642
0,0.0,1.0,0.001,-12.619
0,0.0,1.0,0.01,-12.539
0,0.0,1.2,1e-06,-13.184
0,0.0,1.2,1e-05,-13.183
0,0.0,1.2,0.0001,-13.18
0,0.0,1.2,0.001,-13.156
0,0.0,1.2,0.01,-13.074
0,0.2,0.0,1e-06,5.465
0,0.2,0.0,1e-05,5.475
0,0.2,0.0,0.0001,5.578
0,0.2,0.0,0.001,6.388
0,0.2,0.0,0.01,8.885
0,0.2,0.2,1e-06,-6.022
0,0.2,0.2,1e-05,-6.02
0,0.2,0.2,0.0001,-5.994
0,0.2,0.2,0.001,-5.83
0,0.2,0.2,0.01,-5.54
0,0.2,0.5,1e-06,-8.285
0,0.2,0.5,1e-05,-8.283
0,0.2,0.5,0.0001,-8.26
0,0.2,0.5,0.001,-8.123
0,0.2,0.5,0.01,-7.908
0,0.2,0.8,1e-06,-9.502
0,0.2,0.8,1e-05,-9.5
0,0.2,0.8,0.0001,-9.479
0,0.2,0.8,0.001,-9.355
0,0.2,0.8,0.01,-9.178
0,0.2,1.0,1e-06,-10.097
0,0.2,1.0,1e-05,-10.095
0,0.2,1.0,0.0001,-10.075
0,0.2,1.0,0.001,-9.958
0,0.2,1.0,0.01,-9.799
